108
3 3 3
Cu 0 0 0
Cu 0.5 0.5 0
Cu 1 0 0
Cu 1.5 0.5 0
Cu 2 0 0
Cu 2.5 0.5 0
Cu 0 1 0
Cu 0.5 1.5 0
Cu 1 1 0
Cu 1.5 1.5 0
Cu 2 1 0
Cu 2.5 1.5 0
Cu 0 2 0
Cu 0.5 2.5 0
Cu 1 2 0
Cu 1.5 2.5 0
Cu 2 2 0
Cu 2.5 2.5 0
Cu 0.5 0 0.5
Cu 0 0.5 0.5
Ag 1.5 0 0.5
Cu 1 0.5 0.5
Cu 2.5 0 0.5
Cu 2 0.5 0.5
Cu 0.5 1 0.5
Cu 0 1.5 0.5
Cu 1.5 1 0.5
Cu 1 1.5 0.5
Cu 2.5 1 0.5
Cu 2 1.5 0.5
Cu 0.5 2 0.5
Cu 0 2.5 0.5
Cu 1.5 2 0.5
Cu 1 2.5 0.5
Cu 2.5 2 0.5
Cu 2 2.5 0.5
Cu 0 0 1
Cu 0.5 0.5 1
Cu 1 0 1
Cu 1.5 0.5 1
Cu 2 0 1
Cu 2.5 0.5 1
Cu 0 1 1
Cu 0.5 1.5 1
Cu 1 1 1
Cu 1.5 1.5 1
Cu 2 1 1
Cu 2.5 1.5 1
Cu 0 2 1
Cu 0.5 2.5 1
Cu 1 2 1
Cu 1.5 2.5 1
Cu 2 2 1
Cu 2.5 2.5 1
Cu 0.5 0 1.5
Cu 0 0.5 1.5
Cu 1.5 0 1.5
Cu 1 0.5 1.5
Cu 2.5 0 1.5
Cu 2 0.5 1.5
Cu 0.5 1 1.5
Cu 0 1.5 1.5
Cu 1.5 1 1.5
Cu 1 1.5 1.5
Cu 2.5 1 1.5
Cu 2 1.5 1.5
Cu 0.5 2 1.5
Cu 0 2.5 1.5
Cu 1.5 2 1.5
Cu 1 2.5 1.5
Cu 2.5 2 1.5
Cu 2 2.5 1.5
Cu 0 0 2
Cu 0.5 0.5 2
Cu 1 0 2
Cu 1.5 0.5 2
Cu 2 0 2
Cu 2.5 0.5 2
Cu 0 1 2
Cu 0.5 1.5 2
Cu 1 1 2
Cu 1.5 1.5 2
Cu 2 1 2
Cu 2.5 1.5 2
Cu 0 2 2
Cu 0.5 2.5 2
Cu 1 2 2
Cu 1.5 2.5 2
Cu 2 2 2
Cu 2.5 2.5 2
Cu 0.5 0 2.5
Cu 0 0.5 2.5
Cu 1.5 0 2.5
Cu 1 0.5 2.5
Cu 2.5 0 2.5
Cu 2 0.5 2.5
Cu 0.5 1 2.5
Cu 0 1.5 2.5
Cu 1.5 1 2.5
Cu 1 1.5 2.5
Cu 2.5 1 2.5
Cu 2 1.5 2.5
Cu 0.5 2 2.5
Cu 0 2.5 2.5
Cu 1.5 2 2.5
Cu 1 2.5 2.5
Cu 2.5 2 2.5
Cu 2 2.5 2.5
